date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2016-03-20,Campeonato Alagoano,Hexagonal,1,Murici,C,3x0,Estádio Rei Pelé - Maceió-AL,Francisco Carlos do Nascimento-AL,4852,6322,73947,"Rafael Oliveira; Luís Soares; Leandro Souza","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Didira (Bruno Santa Rosa);João Paulo Penha (Bismarck);Luís Soares;Rafael Oliveira (Cleyton)",Oliveira Canindé
2016-03-27,Campeonato Alagoano,Hexagonal,2,Coruripe,V,2x1,Estádio Gerson Amaral - Coruripe-AL,José Reinaldo Figueiredo-AL,,,,"Douglas Marques; Luís Soares","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Didira (Kauhan);João Paulo Penha (Hudson);Luís Soares;David Dener (Bismarck)",Oliveira Canindé
2016-04-03,Campeonato Alagoano,Hexagonal,3,ASA,C,1x0,Estádio Rei Pelé - Maceió-AL,Denis Ribeiro Serafim-AL,7531,9005,117826,"Douglas Marques","Jeferson;Choco (Hudson);Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Didira (Escobar);João Paulo Penha (Cleyton);Luís Soares;David Dener (Bismarck)",Oliveira Canindé
2016-04-13,Campeonato Alagoano,Hexagonal,4,Santa Rita,V,0x2,Estádio Olival Elias de Morais - Boca da Mata-AL,Denis Ribeiro Serafim-AL,,,,"","Jeferson;Hudson;Walter;Xandão;Rafinha;Escobar;Choco;Didira;Cleyton (Kauhan);Luís Soares (Bismarck);David Dener (Rafael Oliveira)",Oliveira Canindé
2016-04-16,Campeonato Alagoano,Hexagonal,5,CRB,C,2x1,Estádio Rei Pelé - Maceió-AL,Francisco Carlos do Nascimento-AL,9618,10362,196336,"João Paulo Penha; Bismarck","Jeferson;Choco;Leandro Souza;Xandão;Rafinha;Jean Cléber;David Oliveira (Bismarck);Didira;João Paulo Penha (Cleyton);Luís Soares;David Dener (Rafael Oliveira)",Oliveira Canindé
2016-04-20,Campeonato Alagoano,Semifinal - Ida,,Murici,V,2x2,Estádio José Gomes da Costa - Murici-AL,Francisco Carlos do Nascimento-AL,,,,"Didira; Leandro Souza","Jeferson;Choco;Leandro Souza;Xandão;Rafinha;Jean Cléber;Didira (Cleyton);Bismarck (David Oliveira);João Paulo Penha;Luís Soares;David Dener (Rafael Oliveira)",Oliveira Canindé
2016-04-24,Campeonato Alagoano,Semifinal - Volta,,Murici,C,2x1,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,11809,12987,201926,"Rafael Oliveira; Jean Cléber","Jeferson;Choco;Leandro Souza;Xandão (Walter);Rafinha;Jean Cléber;Didira;Bismarck (Hudson);Cleyton (Escobar);João Paulo Penha;Rafael Oliveira",Oliveira Canindé
2016-05-01,Campeonato Alagoano,Final - Ida,,CRB,V,0x2,Estádio Rei Pelé - Maceió-AL,Wilton Pereira Sampaio-GO,,,,"","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Didira (Hudson);Cleyton (Bismarck);João Paulo Penha (Kauhan);Luís Soares;Rafael Oliveira",Oliveira Canindé
2016-05-08,Campeonato Alagoano,Final - Volta,,CRB,C,0x1,Estádio Rei Pelé - Maceió-AL,Dewson Freitas da Silva-PA,15000,17119,412714,"","Jeferson;Hudson;Leandro Souza;Douglas Marques;Bruno Santa Rosa (Cleyton);Jean Cléber;Choco;Didira (Bismarck);João Paulo Penha;Luís Soares;Rafael Oliveira (David Dener)",Oliveira Canindé
2016-06-12,Campeonato Brasileiro Série D,1ª Fase,1,Parnahyba-PI,V,1x2,Estádio Pedro Alelaf - Parnaíba-PI,Zandick Gondim Alves Júnior-RN,,,,"Marcelo Nicácio","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Marcos Antônio (Jeferson Maranhense);Everton Heleno (Marcelo Nicácio);Bismarck (Rayro);Cleyton;Jônatas Obina",Oliveira Canindé
2016-06-19,Campeonato Brasileiro Série D,1ª Fase,2,Guarani de Juazeiro-CE,C,6x0,Estádio Rei Pelé - Maceió-AL,Clizaldo Maroja França-PB,4028,4770,57608,"Cleyton (2); Leandro Souza; Jônatas Obina (2); Marcelo Nicácio","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Everton Heleno;Bismarck (Katê (Kelvin));Cleyton;Jeferson Maranhense;Jônatas Obina (Marcelo Nicácio)",Oliveira Canindé
2016-06-26,Campeonato Brasileiro Série D,1ª Fase,3,Central-PE,C,2x1,Estádio Rei Pelé - Maceió-AL,Michael Vinícius Freitas-SE,5193,6326,80039,"Katê; Marcelo Nicácio","Jeferson;Denilson (Kelvin);Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Everton Heleno;Bismarck (Katê);Cleyton;Rayro (Marcelo Nicácio);Jônatas Obina",Oliveira Canindé
2016-07-03,Campeonato Brasileiro Série D,1ª Fase,4,Central-PE,V,0x0,Estádio Luiz Lacerda - Caruaru-PE,Diego Pombo Lopez-BA,,,,"","Jeferson;Denilson (Kelvin);Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Everton Heleno;Bismarck (Marcos Antônio);Cleyton;Jeferson Maranhense;Jônatas Obina (Marcelo Nicácio)",Oliveira Canindé
2016-07-10,Campeonato Brasileiro Série D,1ª Fase,5,Guarani de Juazeiro-CE,V,3x2,Estádio Romeirão - Juazeiro do Norte-CE,Suelson Diorgenes de França Medeiros-RN,,,,"Douglas Marques; Cleyton; Jônatas Obina","Jeferson;Denilson;Leandro Souza (Leandro Cardoso);Douglas Marques;Rafinha;Panda;Everton Heleno;Cleyton (Kelvin);Bismarck;Jônatas Obina;Marcelo Nicácio (Azul)",Oliveira Canindé
2016-07-17,Campeonato Brasileiro Série D,1ª Fase,6,Parnahyba-PI,C,1x1,Estádio Rei Pelé - Maceió-AL,Wanderson Alves de Sousa-MG,8019,9969,132284,"Leandro Cardoso","Jeferson;Denilson;Leandro Cardoso;Douglas Marques;Rayro;Panda;Everton Heleno;Bismarck (Marcos Antônio);Cleyton;Jeferson Maranhense (Marcelo Nicácio (Azul));Jônatas Obina",Oliveira Canindé
2016-07-24,Campeonato Brasileiro Série D,2ª Fase - Ida,,Parnahyba-PI,V,2x1,Estádio Pedro Alelaf - Parnaíba-PI,Sávio Pereira Sampaio-DF,,,,"Cleyton (2)","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rafinha;Panda;Everton Heleno (Marcos Antônio);Cleyton (Katê);Washington (Kelvin);Jeferson Maranhense;Jônatas Obina",Oliveira Canindé
2016-07-31,Campeonato Brasileiro Série D,2ª Fase - Volta,,Parnahyba-PI,C,3x0,Estádio Rei Pelé - Maceió-AL,Caio Max Augusto Vieira-RN,10415,14273,170319,"Panda; Didira; Azul","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rafinha;Panda;Everton Heleno;Cleyton;Washington (Didira);Jeferson Maranhense (Bismarck);Katê (Azul)",Oliveira Canindé
2016-08-14,Campeonato Brasileiro Série D,Oitavas de Final - Ida,,Altos-PI,C,3x0,Estádio Rei Pelé - Maceió-AL,Salim Fende Chavez-SP,11312,14195,187364,"Cleyton (2); Didira","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rafinha;Panda;Everton Heleno (Marcos Antônio);Cleyton;Bismarck (Kelvin);Jônatas Obina;Marcelo Nicácio (Didira)",Oliveira Canindé
2016-08-21,Campeonato Brasileiro Série D,Oitavas de Final - Volta,,Altos-PI,V,0x2,Estádio Lindolfo Monteiro - Teresina-PI,Wagner Reway-MT,,,,"","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rafinha (Rayro);Marcos Antônio;Didira;Cleyton;Bismarck (Elizeu);Jeferson Maranhense (Kelvin);Jônatas Obina",Oliveira Canindé
2016-08-27,Campeonato Brasileiro Série D,Quartas de Final - Ida,,Ituano-SP,V,2x1,Estádio Novelli Júnior - Itu-SP,Rodolpho Toski Marques-PR,,,,"Bismarck; Jônatas Obina","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rayro;Panda;Marcos Antônio;Cleyton (Katê);Bismarck;Washington (Jeferson Maranhense);Jônatas Obina",Oliveira Canindé
2016-09-04,Campeonato Brasileiro Série D,Quartas de Final - Volta,,Ituano-SP,C,1x0,Estádio Rei Pelé - Maceió-AL,Pericles Bassols Pegado Cortez-PE,,,,"Cleyton","Jeferson;Denilson;Leandro Souza;Douglas Marques;Rayro;Panda;Marcos Antônio;Cleyton (Jeferson Maranhense);Bismarck (Katê);Washington (Didira);Jônatas Obina",Oliveira Canindé
2016-09-11,Campeonato Brasileiro Série D,Semifinal - Ida,,São Bento-SP,C,2x0,Estádio Rei Pelé - Maceió-AL,Sebastião Rufino Ribeiro Filho-PE,9183,11075,117783,"Rayro; Didira","Jeferson;Denilson;Leandro Souza;Leandro Cardoso;Rayro;Panda;Marcos Antônio;Cleyton;Bismarck (Kelvin);Didira (Katê);Jônatas Obina (Marcelo Nicácio)",Oliveira Canindé
2016-09-18,Campeonato Brasileiro Série D,Semifinal - Volta,,São Bento-SP,V,0x1,Estádio Walter Ribeiro - Sorocaba-SP,Rodolpho Toski Marques-PR,,,,"","Jeferson (Pantera);Denilson;Leandro Souza;Leandro Cardoso;Rayro;Everton Heleno;Marcos Antônio;Didira (Azul);Bismarck (Elizeu);Jeferson Maranhense;Jônatas Obina",Oliveira Canindé
2016-09-25,Campeonato Brasileiro Série D,Final - Ida,,Volta Redonda-RJ,C,0x0,Estádio Rei Pelé - Maceió-AL,Jailson Macedo Freitas-BA,,,,"","Pantera;Kelvin;Leandro Souza;Leandro Cardoso;Rayro (Rafinha);Panda;Marcos Antônio;Didira;Bismarck (Azul);Katê (Marcelo Nicácio);Jônatas Obina",Oliveira Canindé
2016-10-01,Campeonato Brasileiro Série D,Final - Volta,,Volta Redonda-RJ,V,0x4,Estádio Raulino de Oliveira - Volta Redonda-RJ,Antônio Santos Nunes-PI,,,,"","Pantera;Denilson;Leandro Souza;Leandro Cardoso;Rafinha;Panda;Marcos Antônio;Didira (Marcelo Nicácio);Bismarck (Jeferson Maranhense);Kelvin;Jônatas Obina (Azul)",Oliveira Canindé
