date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2016-01-24,Campeonato Alagoano,1ª Fase,1,Penedense,V,3x0,Estádio Gerson Amaral - Coruripe-AL,José Reinaldo Figueiredo-AL,,,,"Didira; Jean Cléber; Kauhan","Jeferson;Ronaldo (Rafinha);Leandro Souza;Douglas Marques;Panda;Jean Cléber;Choco (Sorim);Didira;Cleyton (Kauhan);Bismarck;Rafael Oliveira",Oliveira Canindé
2016-01-27,Campeonato Alagoano,1ª Fase,2,Ipanema,C,4x0,Estádio Rei Pelé - Maceió-AL,Denis Ribeiro Serafim-AL,7780,8897,146885,"Leandro Souza; Bismarck (2); Rafael Oliveira","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Bismarck (Cleyton);Didira (Sorim);Luís Soares (Kauhan);Rafael Oliveira",Oliveira Canindé
2016-01-31,Campeonato Alagoano,1ª Fase,3,Coruripe,V,1x0,Estádio Gerson Amaral - Coruripe-AL,José Ricardo Laranjeira-AL,,,,"Kauhan","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Bismarck (Kauhan);Didira (Hudson);Luís Soares;Rafael Oliveira (David Dener)",Oliveira Canindé
2016-02-03,Campeonato Alagoano,1ª Fase,4,Penedense,C,5x1,Estádio Rei Pelé - Maceió-AL,Francisco Carlos do Nascimento-AL,5730,6382,91696,"Choco; Luís Soares; Jean Cléber; David Dener (2)","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Bismarck (Cleyton);Thiago dos Santos (David Dener);Didira (João Paulo Penha);Luís Soares",Oliveira Canindé
2016-02-14,Campeonato Alagoano,1ª Fase,5,Santa Rita,V,2x0,Estádio Olival Elias de Morais - Boca da Mata-AL,Júlio César Farias-AL,,,,"Luís Soares; Douglas Marques","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Bismarck (Cleyton);Didira (João Paulo Penha);Luís Soares;David Dener (Thiago dos Santos)",Oliveira Canindé
2016-02-21,Campeonato Alagoano,1ª Fase,6,CRB,C,1x1,Estádio Rei Pelé - Maceió-AL,Denis Ribeiro Serafim-AL,14700,17004,421323,"Luís Soares","Jeferson;Choco;Walter;Douglas Marques;Rafinha (Kauhan);Jean Cléber;Panda;Bismarck (João Paulo Penha);Thiago dos Santos (David Dener);Didira;Luís Soares",Oliveira Canindé
2016-02-24,Campeonato Alagoano,1ª Fase,7,Ipanema,V,2x0,Estádio Arnon de Melo - Santana do Ipanema-AL,José Ailton da Silva-AL,,,,"David Dener; Luís Soares","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;David Oliveira;Cleyton (João Paulo Penha);Didira (Hudson);Luís Soares;David Dener (Bismarck)",Oliveira Canindé
2016-03-06,Campeonato Alagoano,1ª Fase,8,Coruripe,C,2x0,Estádio Rei Pelé - Maceió-AL,Júlio César Farias-AL,4617,8746,78540,"João Paulo Penha; Cleyton","Jeferson;Choco;Leandro Souza;Walter;Rafinha;Jean Cléber;Panda (Hudson);Bismarck (Cleyton);Didira (João Paulo Penha);Luís Soares;David Dener",Oliveira Canindé
2016-03-13,Campeonato Alagoano,1ª Fase,9,CRB,V,4x1,Estádio Rei Pelé - Maceió-AL,José Ricardo Laranjeira-AL,,,,"Didira; Luís Soares; Panda; Kauhan","Jeferson;Choco;Leandro Souza;Douglas Marques;Rafinha;Jean Cléber;Panda;Didira (Cleyton);João Paulo Penha (Kauhan);Luís Soares;David Dener (David Oliveira)",Oliveira Canindé
2016-03-16,Campeonato Alagoano,1ª Fase,10,Santa Rita,C,3x0,Estádio Rei Pelé - Maceió-AL,Helder Brasileiro de Aquino-AL,2732,2962,27476,"Rafael Oliveira; Cleyton (2)","Jeferson;Romário (Bismarck);Walter;Douglas Marques;Ronaldo (Bruno Santa Rosa);David Oliveira;Sorim (Panda);Hudson;Cleyton;Kauhan;Rafael Oliveira",Oliveira Canindé
