date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2013-01-12,Campeonato Alagoano,1ª Fase,1,Comercial,V,0x0,Estádio Teotônio Vilela - Viçosa-AL,Charles Hebert Cavalcante Ferreira-AL,,,,"","Flávio;Leandrinho (Claudinho);Leandro;Adalberto;Fabiano (Felipe Garopaba);Rhenan Ramos;Celico;Marielson;Alisson (Rodolfo);Robério;Gilmar Couto",Lorival Santos
2013-01-16,Campeonato Alagoano,1ª Fase,2,Murici,C,1x0,Estádio Rei Pelé - Maceió-AL,George Alves Feitoza-AL,3501,4443,,"Marielson","Flávio;Leandrinho;Leandro;Adalberto;Fabiano;Levi;Rodolfo (Patrick Borges);Marielson;Rodriguinho (Jucemar Gaúcho);Robério;Gilmar Couto (Mendes)",Lorival Santos
2013-01-19,Campeonato Alagoano,1ª Fase,3,CSE,V,1x0,Estádio Juca Sampaio - Palmeira dos Índios-AL,Dênis Ribeiro Serafim-AL,,,,"Gilmar Couto","Flávio;Leandrinho;Leandro;Adalberto;Fabiano (Rhenan Ramos);Levi;Celico;Marielson;Rodriguinho (Rodolfo);Robério;Gilmar Couto (Mendes)",Lorival Santos
2013-01-24,Campeonato Alagoano,1ª Fase,4,Corinthians-AL,C,2x4,Estádio Rei Pelé - Maceió-AL,José Ricardo Laranjeira-AL,4053,5010,,"Rodolfo; Rhenan Ramos","Flávio;Leandrinho;Leandro;Adalberto;Fabiano (Jucemar Gaúcho);Levi;Rodolfo;Celico;Rodriguinho (Rhenan Ramos);Robério;Mendes (Everaldo)",Lorival Santos
2013-01-27,Campeonato Alagoano,1ª Fase,5,Sport de Atalaia,C,6x0,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,2592,3327,,"Mendes; Rodolfo; Felipe Garopaba; Erivaldo (contra); Everaldo (2)","Flávio;Leandrinho;Leandro;Adalberto;Fabiano (Everaldo);Rhenan Ramos (Mithyuê);Rodolfo;Celico;Rodriguinho;Mendes;Robério (Felipe Garopaba)",Lorival Santos
2013-01-30,Campeonato Alagoano,1ª Fase,6,União,V,1x1,Estádio Orlando Gomes - União dos Palmares-AL,Dênis Ribeiro Serafim-AL,,,,"Mendes","Hudson;Cléberson (Mithyuê);Leandro;Adalberto;Celico;Levi;Rodolfo;Marielson;Rodriguinho (Gilmar Couto);Robério (Everaldo);Mendes",Lorival Santos
2013-02-02,Campeonato Alagoano,1ª Fase,7,CEO,V,2x1,Estádio Edson Matias - Olho D'água das Flores-AL,José Reinaldo Figueiredo-AL,,,,"Everaldo (2)","Flávio;Leandrinho;Leandro;Adalberto;Rhenan Ramos (Rodolfo);Levi;Celico;Marielson;Everaldo;Robério (Gilmar Couto);Mendes (Washington)",Lorival Santos
2013-02-07,Campeonato Alagoano,1ª Fase,8,CEO,C,1x3,Estádio Rei Pelé - Maceió-AL,George Alves Feitoza-AL,2698,3524,,"Rodriguinho","Flávio;Jeferson Parrudo;Leandro;Adalberto;Fabiano;Levi (Mithyuê);Celico;Marielson (Rodolfo);Rodriguinho (Washington);Robério;Everaldo",Lorival Santos
2013-02-25,Campeonato Alagoano,1ª Fase,9,União,C,3x0,Estádio Rei Pelé - Maceió-AL,José Ricardo Laranjeira-AL,2007,2718,,"Everaldo; Mithyuê (2)","Flávio;Leandrinho;Cléberson;Adalberto;Rhenan Ramos;Elyeser;Rodolfo;Rodriguinho (Levi);Washington (Mithyuê);Felipe Garopaba (Robério);Everaldo",Beto Almeida
2013-02-16,Campeonato Alagoano,1ª Fase,10,Sport de Atalaia,V,0x2,Estádio Luiz Pontes - Atalaia-AL,Francisco Carlos do Nascimento-AL,,,,"","Flávio;Leandrinho;Leandro;Adalberto;Fabiano (Rhenan Ramos);Levi (Patrick Borges);Rodolfo;Rodriguinho;Mithyuê (Gilmar Couto);Washington;Everaldo",Beto Almeida
