date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2013-02-21,Campeonato Alagoano,1ª Fase,11,Corinthians-AL,V,1x1,Estádio Nelson Peixoto Feijó - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,,,,"Robério","Flávio;Leandrinho;Leandro;Cléberson;Claudinho;Levi;Rodolfo (Elyeser);Rodriguinho;Washington (Mithyuê);Everaldo;Gilmar Couto (Robério)",Beto Almeida
2013-02-23,Campeonato Alagoano,1ª Fase,12,CSE,C,3x1,Estádio Rei Pelé - Maceió-AL,Flávio Feijó de Omena-AL,1640,2501,,"Elyeser; Everaldo (2)","Flávio;Leandrinho;Cléberson;Adalberto;Claudinho;Elyeser;Rodolfo (Levi);Rodriguinho (Felipe Garopaba);Washington (Mithyuê);Everaldo;Robério",Beto Almeida
2013-02-27,Campeonato Alagoano,1ª Fase,13,Comercial,C,1x2,Estádio Rei Pelé - Maceió-AL,Francisco Carlos do Nascimento-AL,1809,2610,,"Mithyuê","Flávio (Jorge Miguel);Leandrinho;Cléberson;Adalberto;Rhenan Ramos (Rodriguinho);Levi;Jeferson Parrudo;Elyeser;Mithyuê;Robério (Mendes);Everaldo",Beto Almeida
2013-03-02,Campeonato Alagoano,1ª Fase,14,Murici,V,1x1,Estádio José Gomes da Costa - Murici-AL,George Alves Feitoza-AL,,,,"Rodolfo","Jorge Miguel;Leandrinho;Leandro;Cléberson;Rogerinho;Levi (Rodriguinho);Rodolfo;Elyeser;Mithyuê (Robério);Everaldo;Mendes (Jean Luca)",Beto Almeida
2013-03-10,Campeonato Alagoano,Hexagonal Final,1,CEO,C,2x0,Estádio Rei Pelé - Maceió-AL,José Reinaldo Figueiredo-AL,2095,2873,,"Elyeser; Everaldo","Jorge Miguel;Leandrinho;Cléberson;Adalberto;Claudinho;Robson;Elyeser;Marielson (Rodolfo);Alex Henrique (Kel);Robério (Anderson Oliveira);Everaldo",Beto Almeida
2013-04-17,Campeonato Alagoano,Hexagonal Final,2,ASA,V,1x1,Estádio Coaracy da Mata Fonseca - Arapiraca-AL,José Reinaldo Figueiredo-AL,,,,"Everaldo","Flávio;Levi;Leandro;Adalberto;Fabiano;Robson;Elyeser (Cléberson);Rodolfo;Alex Henrique (Mithyuê);Diego Clementino (Anderson Oliveira);Everaldo",Beto Almeida
2013-03-17,Campeonato Alagoano,Hexagonal Final,3,CRB,C,1x1,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,7312,9233,,"Kel","Flávio;Leandrinho;Cléberson;Adalberto;Rogerinho;Robson;Marielson (Rodolfo);Elyeser;Kel (Alex Henrique);Everaldo (Mithyuê);Diego Clementino",Beto Almeida
2013-03-19,Campeonato Alagoano,Hexagonal Final,4,Murici,V,2x1,Estádio José Gomes da Costa - Murici-AL,José Reinaldo Figueiredo-AL,,,,"Diego Clementino (2)","Flávio (Jorge Miguel);Leandrinho;Cléberson;Adalberto;Rogerinho;Robson;Elyeser;Marielson;Kel (Claudinho);Diego Clementino (Anderson Oliveira);Everaldo",Beto Almeida
2013-03-24,Campeonato Alagoano,Hexagonal Final,5,Corinthians-AL,V,2x2,Estádio Nelson Peixoto Feijó - Maceió-AL,Francisco Carlos do Nascimento-AL,,,,"Elyeser; Everaldo","Jorge Miguel;Leandrinho;Cléberson;Adalberto;Rogerinho;Robson;Elyeser;Marielson (Mithyuê);Kel (Rodolfo);Diego Clementino (Anderson Oliveira);Everaldo",Beto Almeida
2013-03-27,Campeonato Alagoano,Hexagonal Final,6,Corinthians-AL,C,3x2,Estádio Rei Pelé - Maceió-AL,George Alves Feitoza-AL,2837,3880,,"Diego Clementino; Elyeser; Adalberto","Jorge Miguel;Leandrinho;Leandro;Adalberto;Rogerinho (Claudinho);Robson;Elyeser;Marielson (Rodolfo);Kel (Marcinho);Everaldo;Diego Clementino",Beto Almeida
2013-03-31,Campeonato Alagoano,Hexagonal Final,7,Murici,C,2x2,Estádio Rei Pelé - Maceió-AL,Dênis Ribeiro Serafim-AL,3619,4266,,"Everaldo (2)","Jorge Miguel;Leandrinho;Henrique;Leandro;Fabiano;Robson;Elyeser;Claudinho (Alex Henrique);Mithyuê (Levi);Anderson Oliveira (Mendes);Everaldo",Beto Almeida
2013-04-06,Campeonato Alagoano,Hexagonal Final,8,CRB,V,0x1,Estádio Rei Pelé - Maceió-AL,George Alves Feitoza-AL,,,,"","Flávio;Leandrinho;Henrique;Adalberto;Rogerinho;Robson (Marcinho);Elyeser;Rodolfo (Mithyuê);Alex Henrique (Levi);Everaldo;Diego Clementino",Beto Almeida
2013-04-14,Campeonato Alagoano,Hexagonal Final,9,ASA,C,2x0,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,3492,4246,,"Diego Clementino (2)","Flávio;Leandrinho (Levi);Leandro;Adalberto;Fabiano;Robson;Elyeser;Rodolfo (Cléberson);Alex Henrique (Mithyuê);Everaldo;Diego Clementino",Beto Almeida
2013-04-20,Campeonato Alagoano,Hexagonal Final,10,CEO,V,1x1,Estádio Edson Matias - Olho D'água das Flores-AL,José Reinaldo Figueiredo-AL,,,,"Diego Clementino","Flávio;Levi;Leandro;Adalberto;Fabiano;Robson;Rodolfo;Rodriguinho (Anderson Oliveira);Alex Henrique;Diego Clementino (Cléberson);Mendes (Marcinho)",Beto Almeida
2013-04-27,Campeonato Alagoano,Semifinal - Jogo 1,,ASA,V,1x0,Estádio Coaracy da Mata Fonseca - Arapiraca-AL,Luis Flávio de Oliveira-SP,,,,"Everaldo","Flávio;Leandrinho (Henrique);Leandro;Adalberto;Rogerinho;Robson;Levi;Rodolfo (Cléberson);Alex Henrique;Diego Clementino;Everaldo (Rodriguinho)",Beto Almeida
2013-05-05,Campeonato Alagoano,Semifinal - Jogo 2,,ASA,C,1x1,Estádio Rei Pelé - Maceió-AL,Pablo dos Santos Alves-ES,9458,11351,,"Alex Henrique","Flávio;Levi (Anderson Oliveira);Leandro;Adalberto;Rogerinho (Fabiano);Robson;Rodolfo;Rodriguinho (Mendes);Alex Henrique;Everaldo;Diego Clementino",Beto Almeida
2013-05-11,Campeonato Alagoano,Final - Jogo 1,,CRB,C,2x4,Estádio Rei Pelé - Maceió-AL,Wilton Pereira Sampaio-GO,10028,13150,,"Alex Henrique; Diego Clementino","Flávio;Leandrinho;Leandro;Adalberto;Fabiano;Robson;Elyeser;Rodolfo (Marielson);Alex Henrique;Everaldo;Diego Clementino",Beto Almeida
2013-05-18,Campeonato Alagoano,Final - Jogo 2,,CRB,V,1x0 (pên. CRB 4x3 CSA),Estádio Rei Pelé - Maceió-AL,Péricles Bassols Cortez-RJ,,,,"Elyeser","Flávio;Leandrinho (Marielson);Leandro;Adalberto;Rogerinho (Anderson Oliveira);Robson;Elyeser;Rodolfo (Fabiano);Alex Henrique;Everaldo;Diego Clementino",Beto Almeida
2013-04-10,Copa do Brasil,Jogo Único,,Cruzeiro-MG,C,0x3,Estádio Rei Pelé - Maceió-AL,Jailson Macedo Freitas-BA,5018,6111,,"","Flávio;Leandrinho;Leandro;Adalberto;Fabiano;Robson (Anderson Oliveira);Elyeser;Rodolfo (Levi);Alex Henrique (Marcinho);Diego Clementino;Everaldo",Beto Almeida
2013-06-08,Campeonato Brasileiro Série D,1ª Fase,1,Vitória da Conquista-BA,V,0x2,Estádio Lomanto Júnior - Vitória da Conquista-BA,Wanderson Alves de Sousa-MG,,,,"","Flávio;Aderlan;Odair Lucas;Alexandre;Léo Medeiros (Alves);Robson (Wilson Jr);Rodolfo (Marielson);Elyeser;Alex Henrique;Cecel;Rogélio Ávila",Beto Almeida
2013-07-07,Campeonato Brasileiro Série D,1ª Fase,2,Botafogo-PB,C,0x1,Estádio Rei Pelé - Maceió-AL,Gilberto Freira de Farias-PE,3363,5186,,"","Flávio;Igor Bosel (Rodolfo);Odair Lucas (Wilson Jr);Wagner Silva;Brida;Robson;Elyeser;Marielson (Cecel);Alex Henrique;Rone Dias;Everaldo",Beto Almeida
2013-07-13,Campeonato Brasileiro Série D,1ª Fase,3,Sergipe,C,0x2,Estádio Rei Pelé - Maceió-AL,Caio Max Augusto Vieira-RN,3402,5158,,"","Flávio;Igor (Marielson);Tiago Bernardini;Wagner Silva;Brida (Paulinho);Robson;Elyeser;Rone Dias;Alex Henrique;Vavá (Wilson Jr);Everaldo",Beto Almeida
2013-07-21,Campeonato Brasileiro Série D,1ª Fase,4,Juazeirense-BA,V,0x1,Estádio Adauto Moraes - Juazeiro-BA,Emerson Luiz Sobral-PE,,,,"","Flávio;Alves (Cassiano);Cléberson;Sinval;Acácio;Robson;Paulinho;Patrick;Pedrinho (Maxwell (Jamyson));Rony;Wilson Jr",Lino
2013-07-28,Campeonato Brasileiro Série D,1ª Fase,5,Sergipe,V,0x2,Estádio Fernando França - Carmópolis-SE,Devarly Lira do Rosário-ES,,,,"","Flávio;Alves (Alisson);Cléberson;Wagner Silva;Paulinho;Robson;Sinval;Patrick (Cassiano);Alex Henrique;Wilson Jr (Pedrinho);Rony",Lino
2013-08-04,Campeonato Brasileiro Série D,1ª Fase,6,Juazeirense-BA,C,4x1,Estádio Rei Pelé - Maceió-AL,Sebastião Rufino Ribeiro Filho-PE,991,1332,,"Alex Henrique; Alisson; Rony (2)","Flávio;Cléberson;Wagner Silva;Sinval (Robson Jr);Alves (Cassiano);Robson;Patrick;Alex Henrique;Alisson;Wilson Jr (Acácio);Rony",Lino
2013-08-11,Campeonato Brasileiro Série D,1ª Fase,7,Botafogo-PB,V,0x2,Estádio Almeidão - João Pessoa-PB,Wladyerisson Silva Oliveira-CE,,,,"","Manoel;Sinval;Cléberson;Wagner Silva;Alisson;Robson;Cassiano (Acácio);Patrick;Paulinho;Alex Henrique;Rony (Wilson Jr)",Lino
2013-08-17,Campeonato Brasileiro Série D,1ª Fase,8,Vitória da Conquista-BA,C,2x2,Estádio Rei Pelé - Maceió-AL,Gilberto Freire de Farias-PE,714,1043,,"Pedrinho; Patrick","Manoel;Alves;Sinval;Wagner Silva;Alisson (Pedrinho);Robson;Cassiano (Marcos Batinga);Patrick;Acácio;Wilson Jr (Paulo Jr);Rony",Lino
