date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2012-01-14,Campeonato Alagoano,1º Turno,1,CRB,A,0x3,Estádio Rei Pelé - Maceió-AL,,,,,"","Flávio;Leandro;Duda;Aderaldo (Lindoval);Maico Gaúcho;Lima;Leís (Diogo);Washington;Marcelo (Camilo);Paulinho Marilia;Edson Di",Celso Teixeira
2012-01-18,Campeonato Alagoano,1º Turno,2,CSE,C,2x1,Estádio Rei Pelé - Maceió-AL,,,,,"Paulinho Marilia;Washington","Flávio;Leandro;Rafael Araújo;Duda;Maico Gaúcho;Anderson Paulista;Lima (Leís);Washington;Millas (Diogo);Paulinho Marilia;Rony (Lindoval)",Celso Teixeira
2012-01-21,Campeonato Alagoano,1º Turno,3,Murici,A,1x2,Estádio José Gomes da Costa - Murici-AL,,,,,"Claudinho","Hudson;Diogo;Leandro;Rafael Araújo;Claudinho;Lima (Adriano Gabiru);Anderson Paulista;Leís (Alisson);Washington;Maico Gaúcho (Wilson);Paulinho Marilia",Celso Teixeira
2012-01-25,Campeonato Alagoano,1º Turno,4,Coruripe,C,2x0,Estádio Rei Pelé - Maceió-AL,,,,,"Rony (2)","Flávio;Diogo;Leandro;Rafael Araújo;Claudinho;Lima (Wilson);Anderson Paulista;Leís;Washington;Alisson (Madson);Edson Di (Rony)",Celso Teixeira
2012-01-28,Campeonato Alagoano,1º Turno,5,Sport de Atalaia,A,0x1,Estádio Luiz Pontes - Atalaia-AL,,,,,"","Flávio;Diogo;Leandro;Rafael Araújo;Claudinho (Aderaldo);Lima (Leís);Anderson Paulista;Alisson;Washington;Paulinho Marilia;Edson Di (Rony)",Celso Teixeira
2012-02-01,Campeonato Alagoano,1º Turno,6,ASA,A,0x0,Estádio Coaracy da Mata Fonseca - Arapiraca-AL,,,,,"","Flávio;Fernandinho;Leandro;Aderaldo;Camilo;Leís;Anderson Paulista;Alisson (Maxwell);Washington (Adriano Gabiru);Rony;Lindoval",Círio Quadros
2012-02-05,Campeonato Alagoano,1º Turno,7,Corinthians Alagoano,C,4x0,Estádio Rei Pelé - Maceió-AL,,,,,"Washington;Adriano Gabiru;Rony (2)","Flávio;Fernandinho;Duda;Rafael Araújo;Camilo;Leís;Marcelo;Alisson (Claudinho);Washington;Rony (Adriano Gabiru);Wilson (Edson Di)",Círio Quadros
2012-02-08,Campeonato Alagoano,1º Turno,8,Penedense,A,2x0,Estádio Alfredo Leahy - Penedo-AL,,,,,"Rony;Marcelo","Flávio;Fernandinho;Leandro;Rafael Araújo;Camilo;Leís;Marcelo;Claudinho;Washington (Edson Di);Rony (Adriano Gabiru);Wilson (Maxwell)",Círio Quadros
2012-02-12,Campeonato Alagoano,1º Turno,9,CEO,C,0x0,Estádio Rei Pelé - Maceió-AL,,,,,"","Flávio;Fernandinho;Leandro;Rafael Araújo;Claudinho;Leís;Marcelo;Washington (Alisson);Adriano Gabiru (Maico Gaúcho);Rony;Wilson (Edson Di)",Círio Quadros
2012-03-07,Campeonato Alagoano,2º Turno,1,CEO,A,1x2,Estádio Juca Sampaio - Palmeira dos Índios-AL,,,,,"Wagnér","Hudson;Leomir (Maxwell);Leandro;Rafael Araújo;Camilo;Leís (Alisson);Marcelo;Jucemar Gaúcho;Washington;Rony;Edson Di (Wagnér)",Círio Quadros
2012-03-11,Campeonato Alagoano,2º Turno,2,Penedense,C,4x0,Estádio Rei Pelé - Maceió-AL,,,,,"Claudinho;Rony;Rafael Araújo;Jucemar Gaúcho","Hudson;Jackson;Leandro;Rafael Araújo (Duda);Marcelo;Negrete;Jucemar Gaúcho;Claudinho (Alisson);Washington;Rony;Wagnér",Círio Quadros
2012-03-17,Campeonato Alagoano,2º Turno,3,Corinthians Alagoano,A,2x1,Estádio Rubens Canuto - Pilar-AL,,,,,"Rony (2)","Hudson;Jackson;Leandro;Duda;Rafael Araújo;Leís (Marcelo);Jucemar Gaúcho;Claudinho (Kel);Washington;Rony;Reinaldo Gaúcho (Willian César)",Lorival Santos
2012-03-25,Campeonato Alagoano,2º Turno,4,ASA,C,3x2,Estádio Rei Pelé - Maceió-AL,,,,,"Kel;Rony;Júnior Paraíba","Flávio;Jackson;Leandro;Cléberson;Rafael Araújo;Marcelo;Jucemar Gaúcho (Leís);Kel (Claudinho);Washington;Rony;Willian César (Júnior Paraíba)",Lorival Santos
2012-03-28,Campeonato Alagoano,2º Turno,5,Sport de Atalaia,C,2x0,Estádio Rei Pelé - Maceió-AL,,,,,"Rony;Washington","Flávio;Jackson;Leandro;Cléberson;Rafael Araújo;Marcelo (Duda);Jucemar Gaúcho;Kel;Washington;Rony (Wagnér);Júnior Paraíba (Willian César)",Lorival Santos
2012-03-31,Campeonato Alagoano,2º Turno,6,Coruripe,A,1x0,Estádio Gerson Amaral - Coruripe-AL,,,,,"Júnior Paraíba","Flávio;Jackson;Leandro;Cléberson;Jucemar (Rafael Araújo);Duda;Jucemar Gaúcho;Kel;Washington;Léo Rocha (Willian César);Júnior Paraíba (Reinaldo Gaúcho)",Lorival Santos
2012-04-08,Campeonato Alagoano,2º Turno,7,Murici,C,2x1,Estádio Rei Pelé - Maceió-AL,,,,,"Leandro;Rafael Araújo","Flávio;Jucemar;Leandro;Cléberson;Rafael Araújo;Marcelo (Duda);Douglas Silva;Kel (Claudinho);Washington;Rony;Júnior Paraíba (Léo Rocha)",Lorival Santos
2012-04-14,Campeonato Alagoano,2º Turno,8,CSE,A,5x0,Estádio Juca Sampaio - Palmeira dos Índios-AL,,,,,"Rony;Júnior Paraíba;Kel;Willian César;Reinaldo Gaúcho","Flávio;Jackson;Leandro;Cléberson;Jucemar;Douglas Silva;Jucemar Gaúcho (Marcelo);Kel;Claudinho (Reinaldo Gaúcho);Rony;Júnior Paraíba (Willian César)",Lorival Santos
2012-04-21,Campeonato Alagoano,2º Turno,9,CRB,C,2x2,Estádio Rei Pelé - Maceió-AL,,,,,"Rony (2)","Flávio;Jackson (Wagnér);Cléberson;Rafael Araújo;Jucemar (Marcelo);Douglas Silva;Jucemar Gaúcho;Kel (Claudinho);Washington;Rony;Júnior Paraíba",Lorival Santos
2012-04-25,Campeonato Alagoano,Semifinal 2º Turno,SF ida,Sport de Atalaia,A,0x0,Estádio Luiz Pontes - Atalaia-AL,,,,,"","Flávio;Jackson (Leís);Leandro;Cléberson;Rafael Araújo;Douglas Silva (Marcelo);Jucemar Gaúcho;Kel;Washington;Rony;Júnior Paraíba (Reinaldo Gaúcho)",Lorival Santos
2012-04-28,Campeonato Alagoano,Semifinal 2º Turno,SF volta,Sport de Atalaia,C,3x2,Estádio Rei Pelé - Maceió-AL,,,,,"Cléberson;Jucemar;Washington","Flávio;Jackson (Jeferson);Leandro;Cléberson;Jucemar;Douglas Silva;Jucemar Gaúcho (Leís);Kel;Claudinho;Washington;Júnior Paraíba (Wagnér)",Lorival Santos
2012-05-01,Campeonato Alagoano,Final 2º Turno,F ida,ASA,A,0x2,Estádio Coaracy da Mata Fonseca - Arapiraca-AL,,,,,"","Flávio;Jucemar;Leandro;Cléberson;Rafael Araújo;Duda;Douglas Silva (Reinaldo Gaúcho);Kel (Willian César);Claudinho;Washington;Rony (Wagnér)",Lorival Santos
2012-05-05,Campeonato Alagoano,Final 2º Turno,F volta,ASA,C,0x0,Estádio Rei Pelé - Maceió-AL,,,,,"","Flávio;Jackson;Leandro;Cléberson (Rafael Araújo);Jucemar;Duda;Jucemar Gaúcho;Willian César (Claudinho);Washington;Rony;Júnior Paraíba (Wagnér)",Lorival Santos
2012-06-24,Campeonato Brasileiro Série D,1ª Fase,1,Vitória da Conquista,C,3x1,Estádio Rei Pelé - Maceió-AL,,,,,"Ronaldo (2);Paulinho Macaíba","Flávio;Leandrinho (Guêba (Cléberson));Leandro;Adalberto;Fabiano;Sinval (Levi);Jucemar Gaúcho;Celico;Ronaldo;Washington;Paulinho Macaíba",Lorival Santos
2012-07-08,Campeonato Brasileiro Série D,1ª Fase,2,Feirense-BA,A,3x1,Estádio Pedro Amorim - Senhor do Bonfim-BA,,,,,"Ronaldo;Celico;Washington","Flávio;Leandrinho;Leandro;Adalberto;Rafael Araújo;Sinval (Marcelo);Levi;Celico;Ronaldo (Alisson);Washington;Paulinho Macaíba",Lorival Santos
2012-07-15,Campeonato Brasileiro Série D,1ª Fase,3,Sousa,A,0x0,Estádio Antônio Mariz - Sousa-PB,,,,,"","Flávio;Leandrinho;Leandro;Adalberto;Fabiano;Sinval (Marcelo);Jucemar Gaúcho;Celico (Levi);Ronaldo (Safira);Washington;Paulinho Macaíba",Lorival Santos
2012-07-22,Campeonato Brasileiro Série D,1ª Fase,4,Itabaiana,C,1x0,Estádio Rei Pelé - Maceió-AL,,,,,"Ronaldo","Flávio;Leandrinho;Leandro;Adalberto;Fabiano;Sinval (Marcelo);Levi;Celico;Ronaldo;Washington (Júnior Paraíba);Paulinho Macaíba (Wagnér)",Lorival Santos
2012-07-29,Campeonato Brasileiro Série D,1ª Fase,5,Sousa,C,2x1,Estádio Rei Pelé - Maceió-AL,,,,,"Cléberson;Jucemar Gaúcho","Flávio;Leandrinho;Leandro;Adalberto;Fabiano;Levi;Jucemar Gaúcho;Celico;Ronaldo (Jônatas);Washington (Marcelo);Paulinho Macaíba (Warley)",Lorival Santos
2012-08-05,Campeonato Brasileiro Série D,1ª Fase,6,Itabaiana,A,0x0,Estádio Presidente Médici - Itabaiana-SE,,,,,"","Flávio;Leandrinho;Leandro;Adalberto;Fabiano (Marcelo);Levi;Jucemar Gaúcho;Celico;Ronaldo (Jônatas);Washington;Paulinho Macaíba (Warley)",Lorival Santos
2012-08-12,Campeonato Brasileiro Série D,1ª Fase,7,Feirense-BA,C,5x0,Estádio Rei Pelé - Maceió-AL,,,,,"Ronaldo (4);Safira","Flávio;Leandrinho;Cléberson;Adalberto;Celico (André Luiz);Levi;Jucemar Gaúcho (Guêba);Ronaldo;Jônatas;Safira (Warley);Paulinho Macaíba",Lorival Santos
2012-08-26,Campeonato Brasileiro Série D,1ª Fase,8,Vitória da Conquista,A,1x0,Estádio Lomanto Júnior - Vitória da Conquista-BA,,,,,"Washington","Beto;André Luiz (Alves);Sinval;Rafael Araújo;Maxwell;Jota;Marcelo;Guêba;Washington;Warley (Alisson);Robério (Wagnér)",Lorival Santos
2012-09-01,Campeonato Brasileiro Série D,Oitavas de Final,OF ida,Campinense,A,1x2,Estádio Amigão - Campina Grande-PB,,,,,"Ronaldo","Flávio;Leandrinho;Leandro;Adalberto;Celico;Levi;Jucemar Gaúcho;Jônatas (Cléberson);Ronaldo;Safira (Washington);Paulinho Macaíba (Robério)",Lorival Santos
2012-09-09,Campeonato Brasileiro Série D,Oitavas de Final,OF volta,Campinense,C,0x0,Estádio Rei Pelé - Maceió-AL,,,,,"","Flávio;Leandrinho (Guêba);Adalberto;Leandro;Rafael Araújo (Jônatas);Celico;Jucemar Gaúcho (Robério);Levi;Washington;Ronaldo Mendes;Paulinho Macaíba",Lorival Santos
