date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2015-03-19,Campeonato Alagoano,2º Turno,1,ASA,V,0x0,Estádio Coaracy da Mata Fonseca - Arapiraca-AL,Josevaldo Bisarria de Melo-AL,,,,"","Jeferson;Márcio Lima;Breno;William Thuram (Marco Tiago);Paulinho (Fabiano);Pierre;Sorim;Marcos Antônio;Zé Paulo;Afonso;Rony (Elvis)",Nedo Xavier
2015-03-22,Campeonato Alagoano,2º Turno,2,CSE,C,1x1,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,2775,3357,,"Reinaldo Alagoano","Jeferson;Márcio Lima;Samuel;William Thuram;Marcos Antônio (Zé Paulo);Fabiano;Sorim;Elyeser (Damião);Rafael Granja (Anderson Paraíba);Afonso;Reinaldo Alagoano",Nedo Xavier
2015-03-25,Campeonato Alagoano,2º Turno,3,Santa Rita,V,1x2,Estádio Olival Elias de Morais - Boca da Mata-AL,José Reinaldo Figueiredo-AL,,,,"Márcio Lima","Jeferson;Márcio Lima;Breno;Samuel;Paulinho;Sorim;Elyeser;Rafael Granja;Anderson Paraíba;Zé Paulo (Damião);Reinaldo Alagoano",Nedo Xavier
2015-03-29,Campeonato Alagoano,2º Turno,4,Murici,C,1x0,Estádio Rei Pelé - Maceió-AL,Denis Ribeiro Serafim-AL,2278,3517,,"Elyeser","Jeferson;Márcio Lima (Nêgo);Breno;Samuel (Romário);Paulinho;Sorim;Elyeser;Rafael Granja;Anderson Paraíba;Zé Paulo (Damião);Reinaldo Alagoano",Nedo Xavier
2015-04-05,Campeonato Alagoano,2º Turno,5,CRB,V,1x2,Estádio Rei Pelé - Maceió-AL,José Ricardo Laranjeira-AL,,,,"Reinaldo Alagoano","Jeferson;Márcio Lima (Damião);Breno;Samuel;Paulinho;Sorim;Elyeser;Rafael Granja (Diego Neves);Anderson Paraíba;Danilinho (Leandro Teixeira);Reinaldo Alagoano",Nedo Xavier
2015-04-08,Campeonato Alagoano,2º Turno,6,CRB,C,0x1,Estádio Rei Pelé - Maceió-AL,José Reinaldo Figueiredo-AL,4377,5358,,"","Jeferson;Márcio Lima;Breno;Samuel;Paulinho;Sorim;Elyeser (Damião);Marcos Antônio;Rafael Granja (Danilinho);Zé Paulo (Diego Neves);Reinaldo Alagoano",Nedo Xavier
2015-04-12,Campeonato Alagoano,2º Turno,7,Murici,V,3x1,Estádio José Gomes da Costa - Murici-AL,Denis Ribeiro Serafim-AL,,,,"Reinaldo Alagoano; Zé Paulo; Edvaldo Rambo (contra)","Jeferson;Márcio Lima;Breno;Romário;Paulinho;Sorim;Marcos Antônio;Rafael Granja (Marco Tiago);Anderson Paraíba (Pierre);Reinaldo Alagoano;Zé Paulo (Rafael Aidar)",Nedo Xavier
2015-04-15,Campeonato Alagoano,2º Turno,8,Santa Rita,C,1x0,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,3224,3511,,"Zé Paulo","Jeferson;Márcio Lima;Romário;Samuel;Paulinho;Sorim;Elyeser;Marcos Antônio (Marco Tiago);Rafael Granja (Anderson Paraíba);Zé Paulo (Rafael Aidar);Reinaldo Alagoano",Nedo Xavier
2015-04-19,Campeonato Alagoano,2º Turno,9,CSE,V,1x1,Estádio Juca Sampaio - Palmeira dos Índios-AL,Denis Ribeiro Serafim-AL,,,,"Rafael Granja","Jeferson;Márcio Lima (Nêgo);Breno;Romário;Paulinho;Sorim;Elyeser;Marcos Antônio (Anderson Paraíba);Rafael Granja;Zé Paulo (Marco Tiago);Reinaldo Alagoano",Nedo Xavier
2015-04-22,Campeonato Alagoano,2º Turno,10,ASA,C,0x1,Estádio Rei Pelé - Maceió-AL,José Reinaldo Figueiredo-AL,1892,2248,,"","Remerson;Nêgo;Samuel;Marco Tiago;Fabiano (Damião);Pierre;Leandro Teixeira;Danilinho (Romarinho);Anderson Paraíba;Rafael Aidar;Diego Neves (Pilar)",Nedo Xavier
2015-04-25,Campeonato Alagoano,Semifinal - Ida,,Coruripe,V,0x1,Estádio Gerson Amaral - Coruripe-AL,José Reinaldo Figueiredo-AL,,,,"","Jeferson;Márcio Lima;Breno;Romário;Paulinho;Sorim;Elyeser;Marcos Antônio;Rafael Granja (Anderson Paraíba);Zé Paulo (Rafael Aidar);Reinaldo Alagoano",Nedo Xavier
2015-04-27,Campeonato Alagoano,Semifinal - Volta,,Coruripe,C,1x2,Estádio Rei Pelé - Maceió-AL,Héber Roberto Lopes-SC,,,,"Samuel","Jeferson;Márcio Lima (Anderson Paraíba);Breno;Samuel;Paulinho;Sorim;Marcos Antônio (Zé Paulo);Elyeser;Rafael Granja;Rafael Aidar (Afonso);Reinaldo Alagoano",Nedo Xavier
