date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2015-01-28,Campeonato Alagoano,1º Turno,1,Santa Rita,C,3x2,Estádio Rei Pelé - Maceió-AL,Denis Ribeiro Serafim-AL,6353,7501,,"Romário; Rafael Granja (2)","Jeferson;Romário;Breno;Samuel (Sérgio);Thiago Conceição;Fabiano;Elyeser;Zé Paulo;Afonso;Rafael Granja;Damião",Ronaldo Bagé
2015-02-01,Campeonato Alagoano,1º Turno,2,Murici,V,1x1,Estádio José Gomes da Costa - Murici-AL,Charles Hebert Cavalcante Ferreira-AL,,,,"Afonso","Jeferson;Romário;Breno;Pierre (Marcos Antônio);Thiago Conceição;Fabiano;Elyeser;Zé Paulo;Afonso;Rafael Granja (Damião);Reinaldo Alagoano",Ronaldo Bagé
2015-02-04,Campeonato Alagoano,1º Turno,3,CSE,V,1x0,Estádio Juca Sampaio - Palmeira dos Índios-AL,Júlio César Farias-AL,,,,"Zé Paulo","Jeferson;Romário;Breno;William Thuram;Afonso (Pierre);Thiago Conceição;Elyeser;Rafael Granja;Fabiano (Marcos Antônio);Zé Paulo;Reinaldo Alagoano",Ronaldo Bagé
2015-02-08,Campeonato Alagoano,1º Turno,4,CEO,C,1x1,Estádio Rei Pelé - Maceió-AL,José Reinaldo Figueiredo-AL,6032,7042,,"Zé Paulo","Jeferson;Breno;Samuel;William Thuram;Thiago Conceição;Romário;Elyeser;Rafael Granja;Afonso;Zé Paulo;Reinaldo Alagoano",Ronaldo Bagé
2015-02-18,Campeonato Alagoano,1º Turno,5,ASA,C,1x1,Estádio Rei Pelé - Maceió-AL,José Ricardo Laranjeira-AL,3011,3422,,"Afonso","Jeferson;Breno;Romário;Thiago Conceição;Afonso;Marcos Antônio (Elvis);Elyeser;Rafael Granja;Paulinho;Rony;Reinaldo Alagoano",Ronaldo Bagé
2015-02-22,Campeonato Alagoano,1º Turno,6,Ipanema,V,0x2,Estádio Arnon de Melo - Santana do Ipanema-AL,José Reinaldo Figueiredo-AL,,,,"","Jeferson;Breno;Romário;Thiago Conceição;Afonso;Pierre;Marcos Antônio (Damião);Rafael Granja;Paulinho;Rony (Elvis);Reinaldo Alagoano",Ronaldo Bagé
2015-03-01,Campeonato Alagoano,Semifinal 1º Turno - Ida,,CEO,V,0x1,Estádio Edson Matias - Olho D'água das Flores-AL,Denis Ribeiro Serafim-AL,,,,"","Jeferson;Sorim (Romário);Breno;Samuel;Paulinho;Marcos Antônio;Fabiano;Elyeser;Rafael Granja (Elvis);Afonso;Reinaldo Alagoano (Rony)",Ronaldo Bagé
2015-03-08,Campeonato Alagoano,Semifinal 1º Turno - Volta,,CEO,C,2x0,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,7040,11971,,"Breno; Reinaldo Alagoano","Jeferson;Márcio Lima;Breno;William Thuram;Paulinho;Pierre;Sorim;Elyeser;Elvis (Rafael Granja);Zé Paulo (Damião);Reinaldo Alagoano",Nedo Xavier
2015-03-11,Campeonato Alagoano,Final 1º Turno - Ida,,ASA,C,0x0,Estádio Rei Pelé - Maceió-AL,Francisco Carlos do Nascimento-AL,8765,10009,,"","Jeferson;Márcio Lima;Breno;William Thuram;Paulinho;Pierre;Sorim;Elyeser (Marcos Antônio);Elvis (Rafael Granja);Afonso (Damião);Reinaldo Alagoano",Nedo Xavier
2015-03-15,Campeonato Alagoano,Final 1º Turno - Volta,,ASA,V,1x1 (pên. ASA 5x3 CSA),Estádio Coaracy da Mata Fonseca - Arapiraca-AL,José Ricardo Laranjeira-AL,,,,"Reinaldo Alagoano","Jeferson;Márcio Lima;Breno;William Thuram;Paulinho;Pierre;Sorim;Elyeser (Rafael Granja);Elvis (Zé Paulo);Afonso (Marcos Antônio);Reinaldo Alagoano",Nedo Xavier
